,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,11714,ＪＰモルガン証券,JPMorgan Japan,6242,11788,ソシエテ・ジェネラル,Societe Generale,6816,165090005,FUT_TOPIX_2009,2020-09-08
3,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,3940,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,6124,165090005,FUT_TOPIX_2009,2020-09-08
4,11788,ソシエテ・ジェネラル,Societe Generale,3565,12800,モルガンスタンレー,Morgan Stanley MUFG,3405,165090005,FUT_TOPIX_2009,2020-09-08
5,11560,ゴールドマンサックス,Goldman Sachs Japan,3473,11714,ＪＰモルガン証券,JPMorgan Japan,3345,165090005,FUT_TOPIX_2009,2020-09-08
6,11746,ＵＢＳ証券,UBS Securities Japan,3470,12400,野村證券,Nomura Securities,3067,165090005,FUT_TOPIX_2009,2020-09-08
7,12724,ＨＳＢＣ証券,HSBC (Japan),3201,12724,ＨＳＢＣ証券,HSBC (Japan),2009,165090005,FUT_TOPIX_2009,2020-09-08
8,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),1538,12000,大和証券,Daiwa Securities,1229,165090005,FUT_TOPIX_2009,2020-09-08
9,12410,バークレイズ証券,Barclays Japan,1231,12410,バークレイズ証券,Barclays Japan,712,165090005,FUT_TOPIX_2009,2020-09-08
10,11635,クレディ・スイス証券,Credit Suisse Japan,749,12336,日産証券,Nissan Securities,493,165090005,FUT_TOPIX_2009,2020-09-08
11,12792,メリルリンチ日本証券,Merrill Lynch Japan,618,12792,メリルリンチ日本証券,Merrill Lynch Japan,468,165090005,FUT_TOPIX_2009,2020-09-08
12,12800,モルガンスタンレー,Morgan Stanley MUFG,416,11560,ゴールドマンサックス,Goldman Sachs Japan,454,165090005,FUT_TOPIX_2009,2020-09-08
13,12336,日産証券,Nissan Securities,328,11635,クレディ・スイス証券,Credit Suisse Japan,388,165090005,FUT_TOPIX_2009,2020-09-08
14,12400,野村證券,Nomura Securities,167,11746,ＵＢＳ証券,UBS Securities Japan,358,165090005,FUT_TOPIX_2009,2020-09-08
15,11792,シティグループ証券,Citigroup Japan,134,12795,インタラクティブ証券,Interactive Brokers,147,165090005,FUT_TOPIX_2009,2020-09-08
16,11256,ＳＢＩ証券,SBI SECURITIES,67,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),146,165090005,FUT_TOPIX_2009,2020-09-08
17,11272,岡三証券,OKASAN SECURITIES,33,11256,ＳＢＩ証券,SBI SECURITIES,34,165090005,FUT_TOPIX_2009,2020-09-08
18,11056,安藤証券,ANDO SECURITIES,26,11272,岡三証券,OKASAN SECURITIES,12,165090005,FUT_TOPIX_2009,2020-09-08
19,11060,ａｕカブコム証券,au Kabucom Securitie,16,11056,安藤証券,ANDO SECURITIES,11,165090005,FUT_TOPIX_2009,2020-09-08
20,12888,山和証券,YAMAWA SECURITIES,13,12176,ドイツ証券,Deutsche Securities,9,165090005,FUT_TOPIX_2009,2020-09-08
21,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,10,11792,シティグループ証券,Citigroup Japan,9,165090005,FUT_TOPIX_2009,2020-09-08
24,11788,ソシエテ・ジェネラル,Societe Generale,5651,11714,ＪＰモルガン証券,JPMorgan Japan,6165,165120005,FUT_TOPIX_2012,2020-09-08
25,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,3578,11746,ＵＢＳ証券,UBS Securities Japan,3475,165120005,FUT_TOPIX_2012,2020-09-08
26,11714,ＪＰモルガン証券,JPMorgan Japan,3250,11560,ゴールドマンサックス,Goldman Sachs Japan,3373,165120005,FUT_TOPIX_2012,2020-09-08
27,12800,モルガンスタンレー,Morgan Stanley MUFG,3096,12724,ＨＳＢＣ証券,HSBC (Japan),3204,165120005,FUT_TOPIX_2012,2020-09-08
28,12400,野村證券,Nomura Securities,3065,11788,ソシエテ・ジェネラル,Societe Generale,2531,165120005,FUT_TOPIX_2012,2020-09-08
29,12724,ＨＳＢＣ証券,HSBC (Japan),1986,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),1405,165120005,FUT_TOPIX_2012,2020-09-08
30,12000,大和証券,Daiwa Securities,1229,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,1390,165120005,FUT_TOPIX_2012,2020-09-08
31,12410,バークレイズ証券,Barclays Japan,635,12410,バークレイズ証券,Barclays Japan,986,165120005,FUT_TOPIX_2012,2020-09-08
32,12336,日産証券,Nissan Securities,444,11635,クレディ・スイス証券,Credit Suisse Japan,636,165120005,FUT_TOPIX_2012,2020-09-08
33,12792,メリルリンチ日本証券,Merrill Lynch Japan,401,12792,メリルリンチ日本証券,Merrill Lynch Japan,602,165120005,FUT_TOPIX_2012,2020-09-08
34,11746,ＵＢＳ証券,UBS Securities Japan,366,12800,モルガンスタンレー,Morgan Stanley MUFG,371,165120005,FUT_TOPIX_2012,2020-09-08
35,11560,ゴールドマンサックス,Goldman Sachs Japan,342,12336,日産証券,Nissan Securities,264,165120005,FUT_TOPIX_2012,2020-09-08
36,11256,ＳＢＩ証券,SBI SECURITIES,320,11792,シティグループ証券,Citigroup Japan,155,165120005,FUT_TOPIX_2012,2020-09-08
